Link to Post,Source,Comments,Labels,processed_comments
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Nu bizin Pravind ress nu PM ziska 2030. Meilleur PM pu nu zil. Ban lezot trop faible pu li. Vive nu Pravind!,0,nu bizin pravind ress nou premier ministre ziska  meilleur premier ministre pu nou zil bann lezot trop faible pu vive nou pravind
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ti Zozo Lor Baz,1,kok lor baz
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,KAN TO PA POU ENA MANGER SO KAKA SI TO PA POU EZITER POU TO MANGER MOVER BOUFFON 🤣🤣🔥🔥,1,kan to ena manger kaka to eziter to manger mover bouffon
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ferme to fesse do,1,ferme to fesse do
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ferme to Q,1,ferme to fesse
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Gopia chatwa,1,gopia chatwa
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ey peelon plak fess trankil doh baboolal aret manz fess r pra20 peelon lamm so fess papu li la ki pra20 pra20 flmm,1,ey pilon plak fesse trankil doh baboolal aret manz fesse ar pra pilon lamm fesse papu ki pra pra falour
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ala to pilon p enterre nous vivants la bachiara,1,ala to pilon enterre nous vivants batiara
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,to mank rol boulbak,0,to mank rol boulbak
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Mange so kk ta....,1,mange kaka ta
