Comments,Labels
Li fou sa pi...la donne sa 1bouteille rum do so la fiere capave bc,1
Nan Dinee ceki comprend bon ceki pas comprend bez meme,0
"Zot finn ressi guet ZOT PM KOZER???? KOzer aster?? Mo tiyo ti percee?? Kozer VOUS ZOT😂🤣😂🤣😂🤣
TOUS BOUCHON ASTER",0
Tom Dick Harry mo p dire toi lire article la,0
Sheela Ki Jawaani,0
To fou,1
Que des histoire pu ajouté lor la liste de la cantiter infecté,0
Rad Dowlutta pas coze cozer to fam fort stp. Pas acoze to fam mousse caca to generalise pou tout dimoune. Merci,1
"Ludovic Dubois exactement, ou pas tout sel ki p trouve kitchose anormal, zis chatwa ki pas trouver.",0
Latet pa bon aret vin kuyon dimun dow..,1
Rad Dowlutta charwa spotted,0
Pareil couma tou les 5ans enn Messi vini touzour dynastie népotisme badhain so Piti ou trouve sa vaut enn politicien li,0
Ahmed Kootbaully Morisien pa ress kouyon svp,0
"Quand ou ingrat consequence la vini apres, ena enn zafer ki appelle ""humble""",0
Faire le positive mais les améliorations ONS ne parle pas .donne des nouvelles des autres pouffes.,0
Oliver Jennifer Lys pa zis Mahebourg bcp places coumsa.,0
Dormi r li...,1
Ou fou ou swa ou la tet pas bon boss,1
Addil car pour pose question tension i order toi out ???,0
Deporte li dans so pays,1
Poster li 1 aller sans retour dans so pays. LI va gueter si li envie fer mari la bas. Entre temps li capave ine contamine lezot sa ki chagrinant.,1
Bhai Ken tu ceki march avec politicien chatwa mem sa,0
Le fameux medecin surement ..,0
touyé pas laisse mort comme dit 1ancien dans mo l'endroit,1
Steeve George c comme vous voulez!!j'espère que vous n'aurez pas a voyager,0
Dans chatwa to 1 chief executive toi,0
Karma sa 3 pomme damour 35 rs,0
Soobrayen Clavin to bien dire,0
Ki compensation zot bizin ban vampire..zone bien fer dominer r consomateur..sa mm apel karma sa,0
Eta bous to liki kan pas coner ki pou coser dire li franc ki to p mari envie li monte lor to fam ekk to ser apres bour toi aussi mauvais pilon,1
Pran to pravind met dan to f... Hehehe,1
Al lopital line ggne soulpis..kan bour pitin kuma tw ggne sa mem sa,1
Si irresponsable comme u vraie citoyen...,0
"Mo croire kmsa saem ki pou bzn koz ek zte..
Demain soz pou dire, li pas koner kine arriver",0
Ou deja tan cado anpoisoner,1
"Zot pé faire fortune lors la tête planters, vaut-rien",0
Ferme to fesse do,1
Jean Kaka seryé sa ????,0
Tout docteur in pret serment pu zot profession mo esperer zot p respecter li sinon la haut la pu trap zot for sure 🤔,0
Bien dire,0
Pep p dire e redire Cel solution Bizin Boure sa Guvernema Incompétent e so Premier Ministre ki pena l'étoffe d'un Premier Ministre Bizin Boure zot Dehors pli VITE c n Soy pour l'ile Maurice,1
Going down... hopefully stays low cases...maintain distance guys,0
"COVID FREE coté. Pan fouti protez dimoun. Letan ariv 15 cas ki met lockdown... less dimoun al marser, san mask, fer vaccin 1 lor lot sans social distancing. Merci pinok. Anou atann",0
"Raoul Krishi PM p encore makiyer la. Bnela finn blok li dan make up room MBC..... ti 8.45. Apres finn dire 9.15.... aster p tender p met teinture, verni zongle, haar tous sa avant li paret devant camera 😂🤣",0
Anabelle Begue pa facile. Nous p vivre dans dans ene île peptozor dinosor,0
Ti bassin sa,0
Jean Alex Agathe kisenla in dir toi apartir minuit? To sou fou ou p rode role.?,1
Jean Daniel ICAC..bizin met ene enqueteur chevronné..pou fer sa travail la..,0
Sandrine Esther 24kara coment zot connais 😂😂😂😂🤦‍♂️,0
Mo croire pilonkio ine gagne covid sa!li p isole li,1
Cocovide toi bachiara chatwa,1
Coupe li fer bouyon 😂😂😂,1
Thaven Moonesawmy exacte,0
"Linde pays ki zot adorer la kinn fann sa,,, resultat pas faire 40ene,, tiabon toproche gagne sa",1
Bhai Ken apres kaka gagne ...... M.......,1
Sangeeta Vicky Neerunjun long live An(g)us Road,0
Nous ti kapave connais ki date line faire so test svp..,0
Piss lor li rode n lot gallant,1
To deja manz la grain to kuma la grain si tou figure ti pass par quarantaine pa ti pou ariv sa situation la la,1
Anju Asha Welcome to Pinokio Land.,0
Vaccins sa ?? Ce qui p arrivé au port . La Marine Indienne dans la place . Pou tane dire la situation est sous contrôle .,0
Pou rejeter mem mons gros feuille lin decoration boss bizin fer plaisir misier la li ki choisir question,0
"Petidine dan caro canne, Camera 19 milliards Anarque.
Hotesse lev la jambe en lair apres ale gagne depression dan la cour Moka.
Yogi fer escro apres gagne Vipsu pu proteige li.
Be plitot to met li dan la cuisse to Ma Ma....",1
Mo croire to ena kk dans crane. Si to PM ti conne prend decision jamais ti va gagne Covid-19 ici. Dans Chatwas mo croire to Chato excrement aussi.,1
Concerning.. the island is a mess state.,0
"Raoul Krishi
Ou l’esprit in vine la soup alors Coz avec ban les autres l’esprit la soupe couma ou mem .",0
Covid casse liki largent lepep recommencer a partir zordi,1
B si pep là content gagne coups fouette invisible enkor...donne jagnat memm...less maja karo continué.. .,1
"Zeenu Zeenad
Ou faire riyer
Le papa ?
Non
Il est pm - it’s a professional post and not a familial relationship .",0
"Li pas oulé comprend ki le peuple pas oulé li, li fine perdi dans élection, fine gagne so coffre, le peuple maltraite li ET li rode revine ministre encore, la Honte li pena , un peu d'Amour Propre Mr Nuvin s'il vous plait, accepter ou défaite et fiasco qui ou fine faire. Laisse place aux autres please",0
"Vaccinated people could potentially still get COVID-19 and spread it to others.So masking up and social distancing remains critical.

Les personnes vaccinées pourraient potentiellement encore attraper le COVID-19 et le propager à d'autres.Par conséquent, le masquage et la distanciation sociale restent essentiels.",0
Non met li jusqua 2050 pli bon🤣🤣🤣to cpv enn 1 arpen la terre ek imp contrat..👍👍,0
"Haessler Albert si to pa compren sarcasm, bien triste pu tw",0
Eruption,0
Emmanuel Marie Ramdoo Oui..mais pas servi le mal..sa kapav vinn grave sa frere..,0
"Neema Boodhoo pas que la moitié, pays la met zot pou prend.",0
Marchands faire gros cass. Planteur gagn ti profit. Dans place aide ban planteur zot p rod aide ban marchand...,0
Covid free chatwa mauvais pil,1
Varsha Gokul Sewooraz li koz buku pu comprend tigit. So boring,0
"Kumsaem li ti Dirr Kistnen ti call li, lerr fr verification Entry call or Outgoing jamai ti Ena so Nom. Maha Langta la. 🤣🤣",0
Pour moi personnellement nous bzn arête penC ki ena zis pravin navin paul ki kav diriz sa pays la..,0
"BHAI LOCKY C BANNE SOIS DISANT GRAND RELIGIEUX SA
GRAND BASSIN POUR ZOTT",0
Boufon sa,1
B Corona la Sen foi la PA p touye dimune ni p vine grav nenier eski Corona mem ca🤔🤔,0
Bien dire sa Deenarain Lokee,0
Hahaha kan zot in bien fer dominer kot to ti ete lerla li bon pu zot aster,0
https://www.bitchute.com/video/DcE5y2cCGfL0/,0
"There ain't any lockdown ! So many people are attending work in Red zone area !
Employees are coming from different region of the island , to WORK IN RED ZONE AREA !
If this is a good Logic ?",0
ar Paul pena simein li pu trap lagrain,1
