Link to Post,Source,Comments,Labels,processed_comments
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ferme to fesse do,1,ferme to fesse do
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1092061424603216/?anchor_composer=false&refid=18&_ft_=qid.6940953756254385806%3Amf_story_key.1092061424603216%3Atop_level_post_id.1092061424603216%3Atl_objid.1092061424603216%3Acontent_owner_id_new.100042962865803%3Aoriginal_content_id.10164808555715277%3Aoriginal_content_owner_id.722985276%3Apage_id.867119693764058%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_kPOK0uDjqvue9&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Voilà quand on nage dans le 💩💩 on n'a que de la matière fécale qui en sort.,1,voilà quand on nage on que matière fécale ki sort
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,alor 2 semain total lockdwn..dimun ki ramass salter la pa pu travail..la police em p gagne virus ..sa planteur ki ena legum la le ss li fer deficit..c ki ena farm vache less zt mor..c ki travay da pharmacy plito ferm li..1700 dimun da quarantaine pa bizin travailer pu. guet zt ? mo res da londre mon res 1 an da lockdown..dimun ki ena pu travail bizin continuer travail..,0,alor semain total lockdwn dimun ki ramass salter pu travail police em gagne virus planteur ki ena legum ss deficit c ki ena farm vache less zt mor c ki travay da pharmacy plito ferm 1700 dimun da quarantaine bizin travailer pu guet zt res da londre mon res an da lockdown dimun ki ena pu travail bizin continuer travail
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062500227589092/?anchor_composer=false&ref=content_filter,PRENDCOMPTELEPEP,"En attendant il y'a l'Inde qui est arrivé sur l'île sans passer en quarantaine et les jets privés c'est pareil ce variant car il ne peut êtes que celui là est bien arriver par quelqu'un le contact dressing ""c'est comme ça que vous le dite "" dois vous apprendre d'où c'est arrivé.",0,attendant il y liki inde ki est arrivé sur liki île sans passer quarantaine les jets privés c est pareil ce variant car il ne peut êtes que celui là est byin arriver par quelqu contact dressing c est comme ça que vous dite dois vous apprendre où c est arrivé
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Harish Salvarat lol there's a different between complaining and point of view. If you don't like my comment you can scroll.,0,harish salvarat lol there s different between complaining and point of view if you don to like my comment you can scroll
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1095724237570268/?anchor_composer=false&refid=18&_ft_=qid.6941464664189291790%3Amf_story_key.1095724237570268%3Atop_level_post_id.1095724237570268%3Atl_objid.1095724237570268%3Acontent_owner_id_new.100000501597216%3Apage_id.867119693764058%3Asrc.22%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_p6b2T4sX8sQ3e&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Tou sa langage ena la kifer to koz zis kk. Ban chatwi ress cumsa mem non #chatwi,1,tou langage ena kifer to koz zis kaka bann chatwi ress cumsa mem non chatwi
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1096571710818854/?anchor_composer=false&refid=18&ref=content_filter&_ft_=qid.6941463800809400586%3Amf_story_key.1096571710818854%3Atop_level_post_id.1096571710818854%3Atl_objid.1096571710818854%3Acontent_owner_id_new.100042962865803%3Aoriginal_content_id.459439345509674%3Aoriginal_content_owner_id.110852290368383%3Apage_id.110852290368383%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_uAnhUp1blwlnx&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Iqbal Iqbal mamou paret ou pas cner ki apel maintenir 1 bon relation r 1 pays... Si soodun pas ti maintenir 1 non relation r larabie pas ti pou Gagne soutien e si pravind pas ti maintenir 1 bon relation r linde pas ti pou Gagne laide em si to ti p contributer par milliard,0,iqbal iqbal mamou paret cner ki apel maintenir bon relation ar pays soodun maintenir non relation ar larabie gagne soutien pravind maintenir bon relation ar linde gagne laide em to contributer par milliard
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Dire li boufon la si perna role souffler souffler,1,dire boufon perna role souffler souffler
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Sa in mangé sa comie zor in donne toi,0,finn mangé comie zor finn donne twa
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1066958287143286/?anchor_composer=false&refid=18&_ft_=qid.6941503482104563363%3Amf_story_key.1066958287143286%3Atop_level_post_id.1066958287143286%3Atl_objid.1066958287143286%3Acontent_owner_id_new.100027855523395%3Aoriginal_content_id.2714149318805797%3Aoriginal_content_owner_id.100010765571066%3Apage_id.850723902100060%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX86-5KAiQkhH5MX&__tn__=%2AW-R,PRENDCOMPTELEPEP,Fairytailsjonath Fairytails Sa dinasty sa ve dire pa pou capave bouger de pi la dapres ou lopiyon,0,fairytailsjonath fairytails dinasty ve dire capave bouger pi dapres lopiyon
