,Comments,Labels
0,"Et tous les autres commerçants qui souffrent?? 2 ans travaux métro ine ferme mo commerce et faire moi faire faillite dans Beau Bassin. Mone laguerre pendant 2 ans malgré promesses compensations et narnier pane gagner !!! Après nous noune gagne covid ek confinement 2 fois. Et lerla marsanfs légumes Ti faire fortune l'or nous le dos. Azordi malgré tout, ou pe vane ou légumes trankil mais un peu moins et ou le ene compensation ??? 😠😠",0
1,Beatrice Bijoux Bellepeau pas fini prix 1 pomme ine vine prix 2 pomme avant covid!!! Alors mo pas trop croire zot p faire la perte!!,0
2,Beatrice Bijoux Bellepeau vendre légumes un peu moins mais BEAUCOUP plus cher,0
3,Ki fer bizin aide marchand fruit et legumes zot p kpav travay dimune p acheter malgre prix exorbitant zot pa honte zot p achete legumes bon marche r planter et zot p van 3 a 4 fois pli cher.ena dimune in gagne 1 banane pa travay ditou pa p rode aide.avec tous le respect FERMEZ rest trankil.,0
4,Padiachy Navin,0
5,"Padiachy Navin astère zotte souffert kan tou ti korect zotte ti p faire dominère avec consomateur vanne zotte fruit pli cher e zotte plaigné. Si zordi nou p arrivé ene situation pareille tou sa la a cause banne dimoune coumsa même toujour rode faire Di tort zotte prochain. Tou commerce koumsa même, prix monter kan demande zotte zotte dire à koze kovid e avan zotte dire euro ou livre sterlin inn monter. Dire MRA allé faire ene lenkett lor zotte revenu. Zordi marsan dholl puri /farata/pomme de terre/oignon millionaire e zotte gagne toupet vinne dire situation dan baize.",0
6,"ou kone Bouss OU Boss???
ena enP leker humain.dn ou..",0
7,Ritesh Akkooloo fami r li,0
8,"Mo pas content critique dimounes mais la boss ou fort, compensation pou marsan legumes?.",0
9,Ithier Tony zot p travail p gagn casse plis ki planteur apre zot p rod compensation,0
10,"Lily Jane meritocratie, a maurice, bizin fer ene sondage gete komie morisiens konne sa mot la ki signifier.",0
11,Ithier Tony apadu pe fou? Pime d amoo rs 97.50? P rod compensation.,0
12,"11 mois zot tire la vie ek consommateurs...nou pena compensation pou dominere zot faire.. alle nimport cot sa dans moris, nek check prix légumes.. prix actuels = prix avant confinement x 3...",0
